gastric aspirate present	ventrikelaspirat påvist
anal sphincter tone	Analsfinkters tonus
streptococcus pneumoniae antibody assay	analyse for Streptococcus pneumoniae-antistof
multiple plaques	multiple plaques
cytarabine	cytarabin
companion	ledsager
tobacco leaf RAST	tobaksblad-rasttest
entire sacrococcygeal region of spine	rygsøjlens sakrokokcygealregion som helhed
on examination - dead - sudden death	objektivt: død - pludseligt dødsfald
identification of microorganisms in urine culture	identifikation af mikroorganismer i urinkultur
survey study diagnostic radiography of spine	oversigtsundersøgelse radiografisk undersøgelse  af rygsøjlen
coal miner	kulminearbejder
ewing's sarcoma	Ewings sarkom
stepping reflex finding	Fund vedr. gangrefleks
bunamiodyl	Bunamiodyl
tender body of uterus	øm corpus uteri
railway employee injured train collision with rock	jernbanearbejder kvæstet tog i kollision med klippeblok
sotalol hydrochloride 160mg tablet	sotalolhydrochlorid 160 mg tablet
methanohalophilus halophilus	Methanohalophilus halophilus
camelpox virus	kamelkoppevirus
allergy to bromelains	allergi over for bromelainer
carbamazepine 200mg m/r capsule	carbamazepin kapsel med modificeret udløsning a 200 mg
aluminum oxide 38.09% paste	aluminiumoxid 38,09 % pasta
histidinol-phosphatase	Histidinolphosphatase
creatinine renal clearance measurement	måling af renal creatininclearance
relapsing viral hepatitis	recidiverende viral hepatit
candiduria	Candiduri
entire gastrosplenic ligament	ligamentum gastrosplenicum som helhed
sentence comprehension test	sætningsforståelsestest
informing about what is happening	hvad der foregår informering om
on examination - Left diabetic foot at low risk	objektivt: lille risiko for venstre diabetiske fod
oral soft tissues structure	struktur af orale bløddele
demonstrates knowledge of expected responses to operative procedure	Demonstrerer viden om forventet respons på operativt indgreb
thiolamprovum pedioforme	Thiolamprovum pedioforme
congenital fissure of larynx	Kongenit larynxfissur
spleen finding	Fund vedr. milten
entire Littre's gland	glandulae urethrales som helhed
cerebellar gracile lobule	Lobulus gracilis cerebelli
bone tissue of middle phalanx of foot	knoglevæv fra mellemphalanx i fod
structure of obturator nerve	struktur af nervus obturatorius
thoracic duct structure	struktur af ductus thoracicus
vibration white finger	hvide fingre som følge af vibration
desquamation of skin following febrile illness	Deskvamation af hud efter febril sygdom
entire anterior tibiofibular ligament	anteriort tibiofibulært ligament som helhed
leukocyte migration inhibitor factor assay	analyse for migrationshæmmende faktor for leukocytter
dysplasia of testis	testisdysplasi
severe epithelial dysplasia	svær epiteldysplasi
contact dermatitis caused by meat	Irritativ kontaktdermatit forårsaget af kød
buccal tablet	bukkaltablet
accidental busulfan overdose	accidentel overdosis af busulfan
occupant of aircraft	person på fly
irani	iransk
nasal solution	opløsning til nasal anvendelse
complication of manipulation procedure	Komplikation ifm. manipulationsprocedure
does not make self understood	Gør sig ikke forståelig
drug abuse prevention management	styring af forebyggelse af stofmisbrug
meningitis due to organism	ikke nærmere specificeret meningit forårsaget af organisme
culture positive for methicillin resistant Staphylococcus aureus	dyrkning positiv for methicillinresistent Staphylococcus aureus
mycoplasma meleagridis	Mycoplasma meleagridis
facklamia species	Facklamia-art
tropinesterase	Tropinesterase
traumatic amputation of toe(s) with complication	traumatisk amputation af tå/tæer uden komplikation
examination of male genitals	undersøgelse af mandlige kønsorganer
congenital hypoplasia of lacrimal bone	kongenit hypoplasi af os lacrimale
accidental exposure to liquid paint	accidentel eksponering for flydende maling
recombinant human follicle stimulating hormone beta 300iu/mL injection solution 0.5mL vial	rekombinant humant follikelstimulerende hormon beta 300 IE/ml injektionsvæske, opløsning, hætteglas a 0,5 ml
history of - oral contraceptive usage	sygehistorie: brug af p-piller
fumes AND/OR vapors toxic effect of gas	røg OG/ELLER dampe Toksisk virkning af gas
division of vein of upper limb	Deling af vene i overekstremitet
amyloidosis limited to skin	amyloidose begrænset til huden
open wound of labium minus with complication	Åbent sår i labium minus med komplikation
ganglioneuroma of skin	Ganglioneurom i huden
entire lower body	nedre del af kroppen som helhed
thrombosed haemorrhoids	hæmorider med trombose
secondary malignant neoplasm of carina	malignt neoplasme i carina tracheae sekundært
allergy to reproterol	allergi over for reproterol
chronic berylliosis	Kronisk berylliose
recurrent genital Herpes simplex type 2 infection	recidiverende genital herpes simplex type 2-infektion
finding of size of sternum	fund vedr. sternums størrelse
antimicrobial activity measurement	måling af antimikrobiel aktivitet
assistant railway engine-driver	assisterende motorfører ved jernbane
endoscopic removal of foreign body from stomach	Endoskopisk fjernelse af fremmedlegeme fra mavesækken
sigmoid colon structure	struktur af colon sigmoideum
serum phytanic acid level	phytansyreniveau i serum
intentional orciprenaline poisoning	tilsigtet forgiftning med orciprenalin
injection into vitreous body	Injektion i corpus vitreum
transsexuality with heterosexual history	transseksualitet med heteroseksuel anamnese
TNM Ophthalmic tumor staging	TNM-stadieinddelingssystem for oftalmisk tumor
human bite - wound	bidsår forårsaget af menneske
sleep-related groaning	søvnrelateret stønnen
stops breathing	ophør af vejtrækning
resection of subaortic fibromuscular shelf	resektion af subvalvulær membran eller anden udløbsobstruktion i venstre ventrikel
toxic urticated erythema caused by drug	Toksisk erythema urticatum forårsaget af medikament
