entire lamina septum pellucidum	gehele lamina septi pellucidi
resection of extraocular muscle with suture of original insertion	resectie van uitwendige oogspier met hechten aan oorspronkelijke insertie
plasmacytic lymphoma	lymfoplasmacytair lymfoom
streptomyces glaucescens	Streptomyces glaucescens
bypass of carotid artery to carotid artery using vein graft	aanleggen van bypass van arteria carotis naar arteria carotis met veneus transplantaat
acute renal failure with oliguria	acuut nierfalen met oligurie
yersinia enterocoltica, serogroup O:8,14	Yersinia enterocoltica, serogroup O:8,14
MR angiography of whole aorta	MR-angiografie van gehele aorta
benign neoplasm of blood vessel	benigne tumor van bloedvat
polyangium parasiticum	Polyangium parasiticum
finding of position of lens	het vinden van de positie van de lens
anastomosis of choledochal cyst	aanleggen van anastomose van cyste van ductus choledochus
kell>null< phenotype	fenotype Kell>null<
family Polygalaceae	familia Polygalaceae
entire superior border of prostate	gehele bovenste rand van prostaat
urinary reservoir	urinereservoir
nursing care/supplementary surveillance	verpleegkundige zorg/aanvullende surveillance
myeloid sarcoma	myelosarcoom
polynoxylin	polynoxyline
streptomyces poonensis	Streptomyces poonensis
base of distal phalanx of ring finger	structuur van basis van distale falanx van digitus IV van hand
cerebral metastases	metastase in cerebrum
extensor digitorum brevis flap	extensor digitorum brevis flap
arrhythmogenic bileaflet mitral prolapse	aritmogene prolaps van 'bileaflet'-mitralisklep
MR angiography of head and brain without contrast	MR-angiografie van hoofd en hersenen zonder contrast
ponceau 3R stain method	ponceau 3R vlekkenmethode
monocular exotropia	monoculair divergent strabisme
pituitary chromophobe cell	chromofobe cel in hypofyse
lung disorder due to autoimmune disorder	aandoening van long door auto-immuunziekte
cerebral hemisphere white matter part	gedeelte van witte stof van cerebrale hemisfeer
distance of tumor from anal verge	afstand van neoplasma tot anale transitiezone
MPS-I-H/S mucopolysaccharidosis	MPSIH/S
anaesthesia workstation ventilator	ventilator voor anesthesiewerkstation
counselling for elective sterilisation	counselen voor vrijwillige sterilisatie
kineosporia rhizophila	Kineosporia rhizophila
deficiency of ammonia-lyase	ammonialyasedeficiëntie
